pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
1889.730000,1123.560000,1270.540000,1114.250000
1889.880000,1116.970000,1270.410000,1109.400000
1889.900000,1109.070000,1270.200000,1104.440000
1890.030000,1100.600000,1270.370000,1098.830000
1890.170000,1091.670000,1270.380000,1093.110000
1889.630000,1080.600000,1270.200000,1087.690000
1890.020000,1069.970000,1270.750000,1082.740000
1890.140000,1059.760000,1271.320000,1078.890000
1890.350000,1051.480000,1271.160000,1075.730000
1890.090000,1045.720000,1271.080000,1073.670000
1889.780000,1041.510000,1271.180000,1073.340000
1890.020000,1038.930000,1271.260000,1073.730000
1889.410000,1037.720000,1271.190000,1076.150000
1888.980000,1038.380000,1271.350000,1079.360000
1889.590000,1041.710000,1271.370000,1083.900000
1889.860000,1047.630000,1270.990000,1088.870000
1889.580000,1054.750000,1270.910000,1094.240000
1889.490000,1062.950000,1270.700000,1099.920000
1889.580000,1072.070000,1270.690000,1105.610000
1889.940000,1081.740000,1270.810000,1110.660000
1889.640000,1091.980000,1270.690000,1115.120000
1889.460000,1102.630000,1270.490000,1119.610000
1890.430000,1112.850000,1270.830000,1123.770000
1890.010000,1120.840000,1270.940000,1126.960000
1889.590000,1127.590000,1270.460000,1128.810000
1889.340000,1130.460000,1270.330000,1129.360000
1890.000000,1133.430000,1270.560000,1129.050000
1890.060000,1132.980000,1270.830000,1127.180000
1889.900000,1132.270000,1270.720000,1123.980000
1889.350000,1129.050000,1270.600000,1119.610000
1889.630000,1124.520000,1270.610000,1114.920000
1889.450000,1116.680000,1270.580000,1110.030000
1889.780000,1109.420000,1270.220000,1104.710000
1890.250000,1100.410000,1270.650000,1099.040000
1890.010000,1091.300000,1270.670000,1093.480000
1890.100000,1079.840000,1270.430000,1088.290000
1889.820000,1069.020000,1270.440000,1083.600000
1890.190000,1058.450000,1271.250000,1079.280000
1889.990000,1051.590000,1271.520000,1076.170000
1889.930000,1046.140000,1270.850000,1074.340000
1889.630000,1041.960000,1270.970000,1073.870000
1889.920000,1040.510000,1271.230000,1074.290000
1889.620000,1038.690000,1271.340000,1076.520000
1889.150000,1040.300000,1271.290000,1079.970000
1889.180000,1042.950000,1271.150000,1084.140000
1889.620000,1048.570000,1270.980000,1089.090000
1889.260000,1054.770000,1270.800000,1094.610000
1889.620000,1064.150000,1270.700000,1100.080000
1889.850000,1073.360000,1270.730000,1105.790000
1889.940000,1083.350000,1270.930000,1110.790000
1889.810000,1093.170000,1270.720000,1115.720000
1889.750000,1103.040000,1270.580000,1120.130000
1890.430000,1112.770000,1270.880000,1124.200000
1889.920000,1120.200000,1270.910000,1127.170000
1889.850000,1125.240000,1270.640000,1129.070000
1889.810000,1130.710000,1270.500000,1129.570000
1890.270000,1131.440000,1270.690000,1129.230000
1889.950000,1132.740000,1270.750000,1127.570000
1890.060000,1132.900000,1270.570000,1124.280000
1889.229182,1128.717986,1270.460000,1120.200000
1888.890000,1124.620000,1270.520000,1115.200000
1888.886596,1115.911182,1270.610000,1110.170000
1889.100000,1108.230000,1270.130000,1105.040000
1889.150000,1099.690000,1270.230000,1099.640000
1889.760000,1090.960000,1270.370000,1094.080000
1889.280000,1081.700000,1270.080000,1088.970000
1889.340000,1072.400000,1270.230000,1084.100000
1889.700000,1062.730000,1271.090000,1079.630000
1889.750000,1053.410000,1271.270000,1076.560000
1889.100000,1045.530000,1271.030000,1074.860000
1888.880000,1042.370000,1271.020000,1074.180000
1889.450000,1039.150000,1271.210000,1074.520000
1889.270000,1038.320000,1271.400000,1076.630000
1888.690000,1038.760000,1271.340000,1080.100000
1888.750000,1040.670000,1271.180000,1084.390000
1888.480000,1044.780000,1270.880000,1089.350000
1888.910000,1052.380000,1270.690000,1094.580000
1888.700000,1061.330000,1270.590000,1100.230000
1889.040000,1071.990000,1270.610000,1105.900000
1889.260000,1082.090000,1270.810000,1111.030000
1888.750000,1092.200000,1270.530000,1115.630000
1888.800000,1102.040000,1270.400000,1120.020000
