pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y
1883.960000,1105.500000,1268.310000,1116.210000
1883.570000,1100.170000,1268.400000,1112.890000
1883.130000,1092.780000,1268.470000,1107.990000
1882.830000,1085.560000,1268.710000,1103.230000
1882.770000,1077.990000,1268.600000,1097.840000
1883.470000,1070.250000,1270.070000,1091.950000
1882.740000,1063.660000,1269.330000,1086.300000
1882.910000,1057.540000,1268.750000,1080.580000
1883.120000,1051.310000,1269.155315,1077.145816
1883.280000,1048.290000,1268.890000,1072.970000
1883.210000,1045.170000,1268.940000,1069.700000
1883.010000,1041.800000,1268.900000,1067.920000
1882.970000,1038.730000,1268.940000,1067.170000
1883.140000,1037.930000,1268.950000,1067.120000
1883.190000,1038.500000,1268.870000,1068.830000
1882.530000,1039.340000,1269.190000,1072.480000
1882.940000,1044.240000,1269.090000,1076.740000
1883.100000,1050.320000,1269.020000,1081.090000
1882.590000,1057.960000,1269.060000,1086.480000
1883.180000,1065.240000,1269.430000,1091.790000
1883.360000,1072.950000,1269.620000,1097.750000
1883.180000,1080.510000,1269.010000,1102.970000
1882.260000,1087.070000,1268.150000,1108.500000
1883.300000,1091.800000,1265.880000,1113.730000
1883.760000,1096.720000,1268.431002,1117.919717
1883.630000,1101.070000,1268.260000,1120.900000
1883.440000,1105.100000,1268.230000,1123.110000
1883.890000,1108.770000,1267.800000,1123.980000
1884.010000,1111.280000,1267.310000,1123.580000
1884.578870,1105.970277,1267.280000,1122.340000
1884.660000,1102.330000,1267.240000,1119.300000
1884.650000,1099.240000,1267.370000,1115.670000
1885.990000,1095.400000,1267.420000,1111.120000
1884.160000,1088.810000,1267.200000,1105.930000
1884.760000,1081.690000,1267.320000,1099.900000
1885.770000,1074.610000,1268.610000,1094.220000
1885.520000,1067.800000,1270.380000,1088.310000
1885.030000,1060.990000,1268.793159,1083.790452
1884.890000,1054.210000,1268.940000,1079.150000
1884.960000,1049.460000,1269.180000,1074.900000
1884.120000,1044.280000,1269.110000,1072.030000
1884.360000,1041.770000,1268.960000,1069.620000
1884.660000,1040.560000,1268.930000,1069.120000
1884.560000,1039.260000,1268.760000,1069.090000
1884.740000,1040.600000,1269.000000,1070.800000
1884.680000,1041.560000,1268.970000,1074.630000
1884.800000,1046.160000,1269.280000,1078.270000
1884.970000,1051.160000,1269.940000,1082.630000
1884.730000,1058.750000,1270.530000,1087.410000
1884.680000,1066.540000,1270.120000,1094.040000
1884.910000,1074.180000,1269.940000,1099.440000
1884.800000,1081.590000,1269.900000,1105.200000
1884.020000,1088.230000,1268.700000,1110.230000
1885.290000,1094.920000,1268.830000,1114.970000
1886.340000,1101.200000,1268.431002,1118.523775
1885.260000,1104.020000,1268.030000,1122.210000
1886.240000,1107.830000,1267.560000,1124.720000
1885.130000,1108.300000,1267.300000,1125.540000
1885.740000,1108.650000,1267.620000,1125.230000
1885.420000,1107.910000,1267.870000,1123.690000
1885.220000,1104.930000,1267.880000,1120.500000
1885.260000,1101.790000,1267.850000,1116.870000
1887.210000,1098.720000,1267.760000,1112.790000
1889.440000,1098.610000,1267.440000,1107.080000
1884.578870,1078.962816,1267.790000,1101.310000
1885.060000,1071.190000,1267.800000,1095.610000
1885.280000,1065.080000,1266.900000,1089.430000
1885.260000,1059.560000,1269.879627,1084.696539
1885.830000,1053.840000,1270.210000,1080.250000
1885.900000,1048.350000,1270.640000,1076.160000
1885.040000,1044.050000,1270.770000,1072.870000
1885.040000,1040.950000,1270.240000,1071.340000
1885.260000,1038.820000,1271.210000,1069.600000
1885.620000,1039.110000,1271.000000,1070.010000
1885.400000,1039.430000,1270.610000,1072.040000
1884.990000,1040.650000,1270.670000,1074.810000
1885.120000,1045.540000,1270.990000,1078.970000
1885.570000,1051.210000,1270.980000,1083.750000
1885.410000,1058.450000,1270.910000,1088.920000
1885.600000,1065.670000,1270.930000,1094.210000
1885.910000,1073.010000,1270.670000,1100.690000
1885.110000,1079.830000,1270.440000,1105.920000
1885.060000,1086.260000,1269.960000,1111.000000
1885.340000,1092.560000,1269.620000,1116.030000
1886.810000,1098.780000,1269.540000,1120.090000
1886.400000,1103.210000,1269.720000,1123.460000
1886.930000,1106.130000,1269.730000,1125.690000
1886.180000,1108.200000,1269.430000,1126.920000
1886.580000,1109.850000,1269.820000,1126.430000
1886.280000,1110.210000,1269.740000,1124.710000
1884.578870,1102.653572,1269.510000,1121.740000
1884.840000,1098.040000,1269.590000,1117.760000
1884.790000,1092.930000,1269.780000,1112.900000
1884.820000,1087.160000,1269.720000,1107.260000
1884.750000,1080.360000,1269.770000,1101.810000
1885.080000,1073.710000,1270.220000,1096.220000
1885.040000,1067.050000,1270.280000,1090.040000
1885.130000,1060.100000,1269.970000,1084.640000
1885.040000,1054.110000,1270.010000,1080.630000
1884.670000,1048.420000,1270.190000,1076.520000
1883.880000,1043.610000,1269.970000,1073.440000
1884.510000,1041.410000,1270.230000,1070.940000
1884.840000,1038.990000,1270.110000,1069.670000
1884.380000,1038.530000,1270.270000,1070.090000
